Kode_Kab;Kabupaten;Provinsi;PE;TPAK;RASIOPUSKES;RASIOSMA;AHH;HLS;RLS;PENG
ID7108;Siau Tagulandang Biaro;Sulawesi Utara;4,43;3,39;,070707;,021834;70,87;11,86;9,03;8145
ID7109;Minahasa Tenggara;Sulawesi Utara;4,29;3,39;,065657;,048035;70,21;12,43;9,11;10479
ID7110;Bolaang Mongondow Selatan;Sulawesi Utara;3,74;4,6;,045455;,017467;64,49;12,3;8,15;8939
ID7111;Bolaang Mongondow Timur;Sulawesi Utara;3,05;5,99;,040404;,017467;67,94;11,86;7,93;9115
ID7171;Kota Manado;Sulawesi Utara;5,14;12,17;,090909;,20524;71,9;14,16;11,42;13991
ID7172;Kota Bitung;Sulawesi Utara;4,6;9,96;,045455;,056769;71,1;12,62;9,89;12271
ID7173;Kota Tomohon;Sulawesi Utara;2,05;8,84;,035354;,043668;72,06;14,21;10,74;11851
ID7174;Kota Kotamobagu;Sulawesi Utara;4,2;7,32;,025253;,030568;70,6;12,88;10,31;10848
ID7201;Banggai Kepulauan;Sulawesi Tengah;5,07;71,98;,063636;,079295;66,59;13,07;8,44;7453
ID7202;Banggai;Sulawesi Tengah;1,86;71,8;,122727;,145374;70,88;13,25;8,53;9603
ID7203;Morowali;Sulawesi Tengah;25,31;63,75;,059091;,039648;69,23;13,35;9,34;1128
ID7204;Poso;Sulawesi Tengah;4,86;73,54;,1;,0837;71,19;13,71;9,5;8850
ID7205;Donggala;Sulawesi Tengah;4,64;67,47;,086364;,0837;67,5;12,51;7,98;82
ID7206;Tolitoli;Sulawesi Tengah;4,36;64,04;,068182;,061674;66,18;12,89;8,76;7947
ID7207;Buol;Sulawesi Tengah;4,88;67,52;,059091;,052863;69,05;13,1;9,08;7974
ID7208;Parigi Moutong;Sulawesi Tengah;4,72;68,82;,1;,105727;64,35;12,48;7,74;9675
ID7209;Tojo UnanaUna;Sulawesi Tengah;4,25;74,86;,077273;,061674;65,9;12,29;8,4;7621
ID7210;Sigi;Sulawesi Tengah;5,05;70,76;,090909;,088106;70,09;12,88;8,82;8171
ID7211;Banggai Laut;Sulawesi Tengah;4,37;61,42;,045455;,026432;65,67;12,96;8,63;7707
ID7212;Morowali Utara;Sulawesi Tengah;10,47;68,47;,063636;,044053;69,71;12,25;8,72;8890
ID7271;Kota Palu;Sulawesi Tengah;5,97;65,07;,063636;,127753;71,09;16,28;11,72;14894
ID7301;Kepulauan Selayar;Sulawesi Selatan;4,02;69,07;,031712;,018487;68,52;12,66;8,08;960
ID7302;Bulukumba;Sulawesi Selatan;4,76;65,46;,044397;,035294;68,1;13,41;7,82;10632
ID7303;Bantaeng;Sulawesi Selatan;8,86;74,32;,027484;,011765;70,6;12,05;6,77;11829
ID7304;Jeneponto;Sulawesi Selatan;5,4;67,39;,040169;,040336;66,49;12,1;6,6;9215
ID7305;Takalar;Sulawesi Selatan;5,05;65,84;,035941;,042017;67,3;12,42;7,49;10543
ID7306;Gowa;Sulawesi Selatan;7,26;68,89;,054968;,080672;70,45;13,65;8,2;9504
ID7307;Sinjai;Sulawesi Selatan;5,23;71,91;,027484;,026891;67,38;13,06;7,78;9505
ID7308;Maros;Sulawesi Selatan;1,36;59,61;,027484;,055462;69,04;13,16;8,01;1132
ID7309;Pangkajene Dan Kepulauan;Sulawesi Selatan;3,46;64,43;,048626;,053782;66,78;12,77;7,92;11519
ID7310;Barru;Sulawesi Selatan;4,77;58,14;,027484;,013445;69,07;13,59;8,24;1117
ID7311;Bone;Sulawesi Selatan;5,53;65,67;,080338;,062185;67,21;12,98;7,23;930
ID7312;Soppeng;Sulawesi Selatan;6,15;58,94;,035941;,020168;69,81;13,05;7,82;9558
ID7313;Wajo;Sulawesi Selatan;6,77;64,58;,048626;,033613;67,48;13,15;7,05;12505
